depth [ft],Calcite ,Chlorite,Dolomite,Hematite,Illite,K-Feldspar,Kaolinite,Porosity,Quartz,Clay,Bulk
4361.25,0.92588,0,0,0,0.00081,0.04413,0.01871,0.0014,0.00906,0.02091,62.94344828
4361.75,0.9129,0,0,0,0.01286,0.04058,0.01871,0.00292,0.01203,0.03449,71.04434483
4362.25,0.89792,0,0,0,0.0269,0.03663,0.01871,0.00612,0.01373,0.05029,74.10303448
4362.75,0.88793,0,0,0,0.02208,0.03811,0.01871,0.01713,0.01604,0.04486,65.05931034
4363.25,0.88843,0,0,0,0.00042,0.04504,0.01871,0.0281,0.01929,0.02048,57.36524138
4363.75,0.89113,0,0,0,0,0.04212,0.01871,0.03311,0.01492,0.02,53.89917241
4364.25,0.89646,0,0,0,0,0.04479,0.01871,0.03163,0.0084,0.02,55.70641379
4364.75,0.89961,0,0,0,0.0145,0.04067,0.01871,0.0265,0,0.03633,66.18544828
4365.25,0.90207,0.00477,0,0,0.01677,0.03718,0.01871,0.0205,0,0.04422,74.292
4365.75,0.90362,0.00413,0,0,0.02382,0.03757,0.01871,0.01214,0,0.05144,73.70765517
4366.25,0.89676,0,0,0,0.02734,0.03517,0.01871,0.00761,0.01441,0.05079,73.47744828
4366.75,0.89667,0,0,0,0.00817,0.03537,0.01871,0.00464,0.03644,0.0292,69.99972414
4367.25,0.89339,0,0,0,0,0.03422,0.01871,0.0118,0.04186,0.02,66.75103448
4367.75,0.89336,0,0,0,0,0.03293,0.01871,0.02237,0.03262,0.02,62.45282759
4368.25,0.889,0,0,0,0,0.03444,0.01871,0.03842,0.01943,0.02,50.77889655
4368.75,0.87533,0,0,0,0,0.03826,0.01871,0.05162,0.01607,0.02,39.89489655
4369.25,0.85508,0,0,0,0.00292,0.04057,0.01871,0.06034,0.02237,0.02329,36.00027586
4369.75,0.84877,0,0,0,0.00224,0.04025,0.01871,0.06365,0.02638,0.02252,42.82606897
4370.25,0.85968,0,0,0,0,0.03962,0.01871,0.06931,0.01267,0.02,55.26110345
4370.75,0.87345,0,0,0,0,0.03198,0.01871,0.07586,0,0.02,57.20889655
4371.25,0.87297,0,0,0,0,0.02595,0.01871,0.08236,0,0.02,54.80641379
4371.75,0.87201,0,0,0,0,0.03356,0.01871,0.07572,0,0.02,55.58662069
4372.25,0.88147,0,0,0,0,0.04499,0.01871,0.05482,0,0.02,61.84931034
4372.75,0.89929,0.00003,0,0,0.01641,0.03814,0.01871,0.02742,0,0.03851,71.06213793
